config_id,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
152,-1092.6000000000386,56.24999999993179,1528.449999999998,867.2500000000127,5925.399999999922,-7715.750000000094,2032.4499999999261,-6491.200000000163,-7315.450000000101,9360.049999999977,3713.3499999999003,5046.249999999964,7657.949999999937,-5007.5000000000955,-2379.550000000154,-9960.700000000088,-3708.000000000129,-2395.5000000000155,-6014.050000000088,-618.4000000001106,-1963.750000000232,3362.199999999939,1381.0499999999593,-1957.1000000000595,-2721.55000000007,-2174.6500000000196,2908.9500000000044,5497.449999999981,-6699.40000000006,-8103.500000000167,4016.1499999999705,-6478.700000000072,-4665.20000000005,9696.300000000065,13860.249999999905,-5441.750000000047,2168.099999999913,-7448.900000000094,-10235.300000000052,-5458.500000000095,-8957.500000000073,-15798.50000000015,6769.299999999839,-10303.300000000081,-2624.100000000044
153,-2988.200000000029,-6146.600000000035,12411.999999999989,-12031.200000000035,0.0,0.0,16128.099999999971,0.0,0.0,0.0,-2052.500000000009,0.0,0.0,0.0,16237.699999999995,0.0,0.0,0.0,5344.799999999964,4244.049999999993,0.0,-3221.500000000038,0.0,0.0,0.0,7510.499999999979,6735.399999999981,29267.44999999996,0.0,0.0,0.0,6846.89999999996,14921.950000000015,0.0,0.0,0.0,14095.699999999988,10562.20000000003,21100.149999999983,-25927.700000000004,0.0,0.0,0.0,10821.899999999958,14387.949999999955
154,521.6999999999871,0.0,0.0,-1014.4000000000233,0.0,-2785.000000000082,0.0,0.0,0.0,1385.9499999999798,1840.5999999999722,1112.8499999999804,0.0,2014.6000000000186,1844.499999999971,0.0,-2560.200000000009,0.0,0.0,0.0,-9.250000000020009,3158.499999999981,0.0,-796.0000000000036,0.0,0.0,0.0,-889.6999999999935,0.0,-4293.300000000136,3585.050000000001,0.0,-7122.700000000032,943.0000000000291,-1538.2000000000517,260.20000000003165,-1499.600000000055,0.0,-1602.7500000000146,10110.24999999995,0.0,0.0,-128.80000000004657,7126.899999999978,0.0
155,521.6999999999871,0.0,0.0,4232.400000000007,3590.6499999999596,-7385.50000000007,4358.349999999996,0.0,0.0,7070.14999999999,3666.2499999999454,5113.449999999966,5882.799999999997,-1911.5000000000236,-1450.2000000000635,-4836.800000000062,-826.4000000000351,-2416.8000000000347,-6743.200000000024,0.0,-9.250000000020009,3158.499999999981,0.0,-796.0000000000036,-3794.000000000028,-2826.6000000000304,10266.649999999981,5473.399999999992,-5863.599999999997,-8103.500000000167,3585.050000000001,0.0,-10011.700000000064,943.0000000000291,12087.899999999854,-4548.349999999982,-1499.600000000055,0.0,-1602.7500000000146,-7024.100000000044,-6889.000000000033,-15683.500000000095,2414.5999999998367,-7585.100000000057,0.0
156,-3766.900000000055,-6146.600000000035,16549.49999999999,-13946.900000000027,0.0,0.0,0.0,17622.699999999986,0.0,0.0,-5138.500000000022,0.0,0.0,0.0,15283.09999999999,0.0,0.0,0.0,7010.699999999952,5658.899999999994,0.0,-6890.50000000002,0.0,0.0,0.0,2871.499999999969,10207.300000000008,20700.499999999964,0.0,0.0,0.0,-4624.40000000006,19896.100000000024,0.0,-12345.200000000023,0.0,-20640.200000000004,15798.699999999917,0.0,28905.69999999998,0.0,0.0,0.0,6267.799999999988,19184.099999999944
157,-719.1000000000486,699.4999999999209,10413.600000000042,7124.599999999987,-1454.7000000001162,-4061.7000000001553,-30.30000000005657,-6491.200000000163,-6805.700000000093,2432.5999999999567,3286.49999999991,310.6999999999289,-1443.1000000000722,-7149.400000000128,1548.2999999999038,-843.6999999999898,-7483.000000000129,-427.80000000002474,833.8999999999487,-2725.4000000001042,-1591.7000000002417,3169.099999999912,2238.699999999949,107.59999999997945,-1689.3000000000484,2985.3999999999814,0.0,-2525.300000000061,-1122.000000000071,1250.199999999768,6565.79999999999,-6478.700000000072,-9108.60000000007,-3401.2000000000626,-2352.1000000000186,2621.70000000001,-4796.9000000001415,-7448.900000000094,-10235.300000000052,3565.999999999849,-2068.50000000004,-7451.200000000108,3647.0999999999094,9502.700000000004,-2624.100000000044
158,-719.1000000000486,699.4999999999209,4132.100000000014,7124.599999999987,-1407.2000000000344,0.0,7481.999999999925,-6491.200000000163,-6805.700000000093,2432.5999999999567,6162.299999999891,7322.29999999995,8062.899999999922,-7149.400000000128,-1746.4000000001306,-9275.000000000091,-2526.3000000001284,-2395.5000000000155,-5240.700000000061,941.1999999999125,-1591.7000000002417,3169.099999999912,2238.699999999949,107.59999999997945,-5483.300000000077,2311.4000000000033,4651.800000000003,8536.599999999953,-5793.200000000024,-7698.000000000184,6565.79999999999,-6478.700000000072,-4665.20000000005,-3401.2000000000626,-2995.800000000054,0.0,-9085.399999999981,-7448.900000000094,-10235.300000000052,-28873.50000000006,-8957.500000000073,-15204.80000000016,-8947.500000000082,9502.700000000004,-2624.100000000044
159,-2614.700000000039,-6146.600000000035,16549.49999999999,-16201.60000000003,0.0,0.0,0.0,17622.699999999986,0.0,0.0,-5138.500000000022,0.0,0.0,0.0,15283.09999999999,0.0,0.0,0.0,5508.199999999988,5658.899999999994,0.0,-6890.50000000002,0.0,0.0,0.0,3865.6999999999925,9232.699999999953,19275.099999999973,0.0,0.0,0.0,-4624.40000000006,19896.100000000024,0.0,-12345.200000000023,0.0,-20640.200000000004,18725.29999999997,0.0,28905.69999999998,0.0,0.0,0.0,6267.799999999988,19184.099999999944
160,895.1999999999771,0.0,0.0,-1014.4000000000233,0.0,-1766.2000000000944,0.0,0.0,0.0,1848.0999999999767,2922.9999999999563,2055.199999999968,0.0,2686.3000000000284,2459.49999999998,0.0,-2560.200000000009,0.0,0.0,0.0,362.79999999997017,4211.499999999978,0.0,-590.9999999999854,0.0,0.0,0.0,-889.6999999999935,0.0,-3755.300000000125,4780.400000000009,0.0,-7122.700000000032,-3548.700000000008,-2995.800000000054,-1760.5000000000018,-2941.900000000078,0.0,-500.400000000036,13480.499999999938,0.0,0.0,392.0999999999822,9502.700000000004,0.0
161,895.1999999999771,0.0,0.0,-3499.2000000000417,-3512.700000000018,0.0,9471.299999999974,0.0,0.0,1848.0999999999767,-3790.8000000000357,7389.499999999953,7843.899999999985,-1239.8000000000138,-835.2000000000544,-4836.800000000062,749.5999999999412,-2416.8000000000347,-6743.200000000024,0.0,362.79999999997017,4211.499999999978,0.0,-590.9999999999854,-3794.000000000028,-2826.6000000000304,13689.199999999983,-889.6999999999935,-4243.40000000002,-7565.500000000156,4780.400000000009,0.0,-10011.700000000064,-3548.700000000008,-2995.800000000054,0.0,-9085.399999999981,0.0,-500.400000000036,-15789.900000000034,-6889.000000000033,-15683.500000000095,-12850.400000000036,9502.700000000004,0.0
