config_id,htf_pivot_len,ltf_pivot_len,sl,sl_buffer_pips,tp_kind,tp_mode,tp_pips,trend_filter,max_sl_atr,n_trades,net_pips,win_rate,profit_factor,avg_pips,max_drawdown_pips,monthly_sharpe,months,tp_rate,long_share,tp_r_multiple,tp_atr_mult
1373,3,2,ltf,0,atr,atr,,ema,7.0,346,53683.96428570766,0.35260115606936415,1.1708740040057788,155.15596614366376,28171.078571429436,0.1920837520152068,45,0.35260115606936415,0.5838150289017341,,5.0
1374,3,2,ltf,0,atr,atr,,none,0.0,302,83277.38571427944,0.2682119205298013,1.270806323546575,275.75293282873986,18672.800000000032,0.3200435481554747,45,0.2682119205298013,0.5364238410596026,,8.0
1375,3,2,ltf,0,atr,atr,,none,5.0,323,64948.75714285049,0.23839009287925697,1.2091208614297417,201.0797434763173,27751.300000003066,0.23870231716094573,45,0.23839009287925697,0.5294117647058824,,8.0
1376,3,2,ltf,0,atr,atr,,none,7.0,306,80663.48571427945,0.26143790849673204,1.2637927139136238,263.6061624649655,20633.885714286702,0.3038352853074912,45,0.26143790849673204,0.5294117647058824,,8.0
1377,3,2,ltf,0,atr,atr,,ema,0.0,266,99291.9142857088,0.2894736842105263,1.3530252399316758,373.2778732545444,19703.000000000044,0.4138480079443269,45,0.2894736842105263,0.5601503759398496,,8.0
1378,3,2,ltf,0,atr,atr,,ema,5.0,275,92052.18571428013,0.26181818181818184,1.3448359032679718,334.73522077920046,22735.242857143785,0.33514400429044666,45,0.26181818181818184,0.5490909090909091,,8.0
1379,3,2,ltf,0,atr,atr,,ema,7.0,270,96678.01428570882,0.2814814814814815,1.3458625124834218,358.0667195766993,22507.671428572183,0.3942357065394493,45,0.2814814814814815,0.5518518518518518,,8.0
1380,3,2,ltf,200,fixed,fixed_pips,1500.0,none,0.0,516,15280.699999990866,0.45155038759689925,1.0457365218130186,29.61375968990478,35112.000000002925,0.07323049384962467,45,0.45155038759689925,0.563953488372093,,
1381,3,2,ltf,200,fixed,fixed_pips,1500.0,none,5.0,510,10034.19999999091,0.4392156862745098,1.030793564475819,19.67490196076649,34320.70000000274,0.04875796470723301,45,0.4392156862745098,0.5588235294117647,,
1382,3,2,ltf,200,fixed,fixed_pips,1500.0,none,7.0,517,21023.599999990893,0.44874274661508706,1.0643198135962337,40.664603481607145,35077.40000000292,0.0971022397467459,45,0.44874274661508706,0.5609284332688588,,
1383,3,2,ltf,200,fixed,fixed_pips,1500.0,ema,0.0,407,44067.09999999282,0.4914004914004914,1.1722495425724837,108.27297297295533,19693.8000000011,0.22125555825920903,45,0.4914004914004914,0.5896805896805897,,
1384,3,2,ltf,200,fixed,fixed_pips,1500.0,ema,5.0,400,39107.299999992916,0.4775,1.15813887096171,97.76824999998229,22105.60000000141,0.20005676563313252,45,0.4775,0.585,,
1385,3,2,ltf,200,fixed,fixed_pips,1500.0,ema,7.0,408,49809.999999992855,0.4877450980392157,1.2003696842799378,122.08333333331582,19693.8000000011,0.24287500079348695,45,0.4877450980392157,0.5857843137254902,,
1386,3,2,ltf,200,fixed,fixed_pips,2500.0,none,0.0,445,25656.29999999165,0.3685393258426966,1.0665983454958807,57.65460674155427,21587.000000003147,0.1256199370773103,45,0.3685393258426966,0.5662921348314607,,
1387,3,2,ltf,200,fixed,fixed_pips,2500.0,none,5.0,445,28579.499999991614,0.3550561797752809,1.0778056463712102,64.22359550559914,25951.400000001217,0.14516699961753562,45,0.3550561797752809,0.5573033707865168,,
1388,3,2,ltf,200,fixed,fixed_pips,2500.0,none,7.0,447,29662.79999999163,0.36465324384787473,1.0783210771273377,66.35973154360543,22739.300000001007,0.14178796560713336,45,0.36465324384787473,0.5615212527964206,,
1389,3,2,ltf,200,fixed,fixed_pips,2500.0,ema,0.0,367,38745.49999999306,0.3869209809264305,1.1221634683446124,105.57356948226992,17775.600000000763,0.19972209488456247,45,0.3869209809264305,0.5885558583106267,,
1390,3,2,ltf,200,fixed,fixed_pips,2500.0,ema,5.0,364,44858.29999999314,0.37362637362637363,1.1515220504013743,123.23708791206907,24307.600000001035,0.2243126634516467,45,0.37362637362637363,0.5796703296703297,,
1391,3,2,ltf,200,fixed,fixed_pips,2500.0,ema,7.0,370,42249.99999999302,0.3810810810810811,1.1357834997176421,114.18918918917034,21382.20000000086,0.21351899442727454,45,0.3810810810810811,0.5837837837837838,,
1392,3,2,ltf,200,fixed,fixed_pips,4000.0,none,0.0,341,85644.59999999331,0.31378299120234604,1.2489949447786315,251.15718475071353,18557.10000000034,0.34171603572458836,45,0.31378299120234604,0.5747800586510264,,
1393,3,2,ltf,200,fixed,fixed_pips,4000.0,none,5.0,350,79138.8999999929,0.29428571428571426,1.2361377543088619,226.11114285712256,23545.80000000119,0.31046659030246176,45,0.29428571428571426,0.56,,
1394,3,2,ltf,200,fixed,fixed_pips,4000.0,none,7.0,345,87183.99999999326,0.3072463768115942,1.257012844746341,252.70724637679206,17600.600000000122,0.3449074274204226,45,0.3072463768115942,0.5681159420289855,,
1395,3,2,ltf,200,fixed,fixed_pips,4000.0,ema,0.0,290,86764.19999999426,0.3275862068965517,1.295803919723578,299.18689655170436,18267.500000000306,0.32855638230502965,45,0.3275862068965517,0.593103448275862,,
1396,3,2,ltf,200,fixed,fixed_pips,4000.0,ema,5.0,298,75679.2999999939,0.30201342281879195,1.2654726600620347,253.95738255031512,26016.30000000108,0.2892063535927077,45,0.30201342281879195,0.5838926174496645,,
1397,3,2,ltf,200,fixed,fixed_pips,4000.0,ema,7.0,294,88303.59999999423,0.3197278911564626,1.3059979388430796,300.35238095236133,19566.70000000055,0.3318358454900203,45,0.3197278911564626,0.5850340136054422,,
